Player,Team,Pos,Performance_Ast,lambda_final_assists,TopAssist_Prob,LogoFile
Achraf Hakimi,Paris S-G,DF,3,5.832635300024731,0.13474436507936502,Paris S-G.png
Pierre-Emerick Aubameyang,Marseille,FW,4,5.334156736082538,0.08580316849816869,Marseille.png
Serge Gnabry,Bayern Munich,"FW,MF",3,5.246737117315998,0.08007781135531147,Bayern Munich.png
Kenan Yıldız,Juventus,MF,3,4.845114501672246,0.0548417063492063,Juventus.png
Michael Olise,Bayern Munich,"FW,MF",3,4.631229414096204,0.04865523199023191,Bayern Munich.png
Dominik Szoboszlai,Liverpool,"MF,DF",3,4.59053962832925,0.04561297619047614,Liverpool.png
Tijjani Reijnders,Manchester City,MF,3,4.617531591669287,0.045138968253968195,Manchester City.png
Kevin De Bruyne,Napoli,"MF,FW",2,4.609471981395673,0.042467976190476125,Napoli.png
Konrad Laimer,Bayern Munich,DF,3,4.5643951127354105,0.0410762637362637,Bayern Munich.png
Martín Zubimendi,Arsenal,MF,2,4.294153357485712,0.030716111111111086,Arsenal.png
Florian Wirtz,Liverpool,"MF,FW",2,4.121354768052319,0.027902341269841275,Liverpool.png
Julián Álvarez,Atlético Madrid,FW,2,4.1916740169671645,0.027667063492063493,Atlético Madrid.png
Charles De Ketelaere,Atalanta,"FW,MF",2,4.14924543863332,0.02708809523809526,Atalanta.png
Leandro Trossard,Arsenal,FW,2,4.069264600818499,0.023183809523809534,Arsenal.png
Declan Rice,Arsenal,MF,2,3.9694984926049264,0.020940509768009777,Arsenal.png
Lamine Yamal,Barcelona,FW,2,3.8738091146296356,0.018033174603174603,Barcelona.png
Cody Gakpo,Liverpool,"FW,MF",2,3.6222291307017684,0.01607896825396825,Liverpool.png
Reece James,Chelsea,"MF,DF",2,3.529784082905822,0.012107023809523807,Chelsea.png
Myles Lewis-Skelly,Arsenal,DF,2,3.423017218042731,0.010475277777777776,Arsenal.png
Leroy Sané,Galatasaray,"FW,MF",2,3.489334856216873,0.009853730158730159,Galatasaray.png
Fermin López,Barcelona,"MF,FW",2,3.479426880718112,0.009366785714285713,Barcelona.png
Khvicha Kvaratskhelia,Paris S-G,FW,2,3.3569790058572195,0.009075192307692307,Paris S-G.png
Geovany Quenda,Sporting CP,FW,2,3.3107527587707377,0.008796666666666666,Sporting CP.png
Arda Güler,Real Madrid,MF,2,3.1991343685650153,0.008795357142857146,Real Madrid.png
Vinicius Júnior,Real Madrid,"FW,MF",2,3.3899080237150105,0.008627619047619049,Real Madrid.png
Francesco Esposito,Inter,FW,2,3.380203787145338,0.008572261904761905,Inter.png
Bradley Barcola,Paris S-G,FW,2,3.2272902984126963,0.008167063492063493,Paris S-G.png
Nuno Mendes,Paris S-G,DF,2,3.3610413515805915,0.008021666666666667,Paris S-G.png
Randal Kolo Muani,Tottenham,FW,2,3.343942830055527,0.007734841269841272,Tottenham.png
Geny Catamo,Sporting CP,"FW,MF",2,3.3015183810694873,0.0073687637362637405,Sporting CP.png
Karim Adeyemi,Dortmund,MF,2,3.160200418242333,0.006847182539682541,Dortmund.png
Marcus Rashford,Barcelona,FW,2,3.228827388767388,0.0065285714285714305,Barcelona.png
Jacob Murphy,Newcastle Utd,"FW,DF",2,3.29266466309207,0.0062434523809523825,Newcastle Utd.png
Marcel Sabitzer,Dortmund,MF,2,3.1984526064242393,0.006024041514041517,Dortmund.png
Hakan Çalhanoğlu,Inter,MF,2,3.0950987133462036,0.005847738095238096,Inter.png
Maghnes Akliouche,Monaco,"MF,FW",2,3.0524833808010534,0.005569285714285716,Monaco.png
Guus Til,PSV Eindhoven,"FW,MF",2,3.0096604727156966,0.004993333333333334,PSV Eindhoven.png
Mauro Júnior,PSV Eindhoven,"MF,DF",2,3.006121526352747,0.00493623015873016,PSV Eindhoven.png
Serhou Guirassy,Dortmund,FW,2,2.887587285722059,0.004482619047619049,Dortmund.png
Anthony Gordon,Newcastle Utd,FW,2,2.893046332041693,0.004271349206349206,Newcastle Utd.png
Ibrahim Maza,Leverkusen,MF,2,2.946989606756623,0.003825,Leverkusen.png
Jobe Bellingham,Dortmund,MF,2,2.7820454428603605,0.003014166666666666,Dortmund.png
Carlos Forbs,Club Brugge,"FW,MF",2,2.681987768022389,0.002739285714285714,Club Brugge.png
Marko Janković,Qarabag,MF,2,2.7091734803955596,0.0026645238095238093,Qarabag.png
Bukayo Saka,Arsenal,FW,1,2.711039555171186,0.002638571428571428,Arsenal.png
Wesley Fofana,Chelsea,DF,1,2.645714593192092,0.002304166666666666,Chelsea.png
Mohamed Salah,Liverpool,FW,1,2.6804144375966867,0.0022612301587301587,Liverpool.png
Hans Vanaken,Club Brugge,MF,2,2.7299780784696104,0.0021384523809523806,Club Brugge.png
Cristian Romero,Tottenham,DF,1,2.4669073869211147,0.0019418589743589744,Tottenham.png
Alessandro Bastoni,Inter,DF,1,2.4452418063101855,0.001572692307692308,Inter.png
Nathaniel Brown,Eint Frankfurt,"DF,MF",2,2.386390750641824,0.0014216666666666668,Eint Frankfurt.png
Lukáš Provod,Slavia Prague,"MF,FW",2,2.51553055630946,0.0013985714285714285,Slavia Prague.png
Rodrygo,Real Madrid,"FW,MF",1,2.390801251957578,0.001186904761904762,Real Madrid.png
