Player,Team,Pos,lambda_final_goals,lambda_final_assists,MVP_indiv_score,Win_Probability,MVP_score,LogoFile
Gabriel Martinelli,Arsenal,FW,8.82361308686647,2.2471105789757058,7.467473049073724,0.192,2.1690859949459522,Arsenal.png
Kylian Mbappé,Real Madrid,FW,15.108439466300638,1.0655963172415075,12.654522985092884,0.0711,1.889552277142795,Real Madrid.png
Harry Kane,Bayern Munich,"FW,MF",9.048711064750698,0.734240298059839,6.810508052540397,0.1252,1.4755268634284888,Bayern Munich.png
Erling Haaland,Manchester City,FW,10.13712763077138,0.3294239778089027,7.441565302195167,0.0839,1.2368029386006725,Manchester City.png
Noni Madueke,Arsenal,FW,6.235922630318413,0.4900445872180662,4.214596872239414,0.192,1.224219088551179,Arsenal.png
Bukayo Saka,Arsenal,FW,4.194496763454125,2.710836053796879,3.828398759740275,0.192,1.1120396522691354,Arsenal.png
Viktor Gyökeres,Arsenal,FW,5.243264309193414,0.3489994557682434,3.359576093214292,0.192,0.9758601611090212,Arsenal.png
Luis Díaz,Bayern Munich,FW,6.094777076958628,0.9427897446080388,4.355820512495726,0.1252,0.9437078891732459,Bayern Munich.png
Julián Álvarez,Atlético Madrid,FW,7.158857704393089,4.1918315191243005,7.19602809847911,0.0562,0.925021755773654,Atlético Madrid.png
Leandro Trossard,Arsenal,FW,2.30726608386106,4.069047220794602,3.107484130081021,0.192,0.9026347014284354,Arsenal.png
